feature,F_value,p_value,eta_squared,kruskal_statistic,kruskal_p_value
std_magnitude,4334.04263174281,0.0,0.6844620107287436,1377.0440642938538,2.045653632130679e-301
mean_magnitude,4306.955224549068,0.0,0.6831063934886396,1376.1591077961011,3.1852047558001406e-301
mean_psd_db,3280.523733854993,0.0,0.6214850778854338,1373.437065793104,1.2435137319436625e-300
std_psd_db,3134.3022627858927,0.0,0.6107010270054801,1373.62074752024,1.1343200490934264e-300
received_power,3093.808875787748,0.0,0.6076050675231015,1376.314241943027,2.9473109754776973e-301
sinr_estimate,2964.542244307671,0.0,0.5973837799986843,1377.5038942188903,1.625207836768651e-301
spectral_flatness,762.4836599870608,1.9102532292718526e-142,0.2762137921840243,1372.0483703808104,2.4912729621509668e-300
spectral_entropy,636.2950565601318,4.0789430744343043e-122,0.24154281995692678,827.0270714482758,7.178106408440283e-182
peak_to_avg_ratio,520.351238148858,1.4889188606961728e-102,0.206623774422884,433.05577648575763,3.514017869321505e-96
amplitude_kurtosis,495.810137045542,2.6906493712685238e-98,0.19881631311072287,464.54320264467697,4.93426355747477e-103
spectral_centroid,450.4964884759654,2.5266006466501405e-90,0.18398902779573567,638.4169605757124,7.382928514843197e-141
spectral_bandwidth,251.4632589177262,1.9667302887546413e-53,0.11178811564084472,533.7512255037877,4.3137478703617895e-118
spectral_rolloff,151.92023396065346,1.0694109165822536e-33,0.07066319557390324,392.481710989162,2.3856685818060517e-87
mean_imag,3.6684954964975365,0.0555928310589272,0.001832718806711097,4.26560059969961,0.03889149866428016
mean_real,0.9545897129841968,0.3286720497069999,0.00047754447144357514,0.30993535832021735,0.5777198547624429
iq_power_ratio_db,0.35107532683124,0.5535720929870969,0.0001756825070258597,0.4361426326831861,0.5089901423885765
